,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
42,acta neurobiologiae experimentalis,0065-1400,450.0,215.0,2.0930232558139537,0.47,2015
43,acta neurobiologiae experimentalis,1689-0035,450.0,215.0,2.0930232558139537,0.47,2015
44,acta neurochirurgica,0942-0940,2777.0,1512.0,1.836640211640212,0.39899999999999997,2015
45,acta neurologica belgica,2240-2993,354.0,312.0,1.1346153846153846,0.218,2015
46,acta neuropathologica,1432-0533,7201.0,719.0,10.015299026425591,3.3710000000000004,2015
47,acta orthopaedica,1745-3674,2364.0,611.0,3.869067103109656,1.0190000000000001,2015
48,acta orthopaedica et traumatologica turcica,1017-995X,471.0,380.0,1.2394736842105265,0.243,2015
49,acta ortopedica brasileira,1413-7852,234.0,256.0,0.9140625,0.166,2015
50,acta ortopedica brasileira,1809-4406,234.0,256.0,0.9140625,0.166,2015
51,acta palaeontologica polonica,0567-7920,682.0,405.0,1.683950617283951,0.358,2015
52,acta palaeontologica polonica,1732-2421,682.0,405.0,1.683950617283951,0.358,2015
53,acta paulista de enfermagem,0103-2100,993.0,855.0,1.16140350877193,0.22399999999999998,2015
55,acta pharmaceutica,1330-0075,387.0,183.0,2.114754098360656,0.47700000000000004,2015
56,acta pharmaceutica,1846-9558,387.0,183.0,2.114754098360656,0.47700000000000004,2015
57,acta physica polonica a,1509-5770,1354.0,1904.0,0.7111344537815126,0.121,2015
58,acta physiologiae plantarum,1861-1664,2572.0,1234.0,2.0842787682333874,0.46799999999999997,2015
59,acta polytechnica hungarica,1785-8860,145.0,36.0,4.027777777777779,1.072,2015
60,acta protozoologica,0065-1583,197.0,138.0,1.427536231884058,0.29100000000000004,2015
61,acta protozoologica,1689-0027,197.0,138.0,1.427536231884058,0.29100000000000004,2015
62,acta reumatologica portuguesa,0303-464X,213.0,205.0,1.0390243902439025,0.195,2015
63,acta societatis botanicorum poloniae,2083-9480,647.0,1235.0,0.5238866396761134,0.08199999999999999,2015
64,acta veterinaria brno,1801-7576,192.0,271.0,0.7084870848708487,0.12,2015
65,acta veterinaria scandinavica,0044-605X,738.0,417.0,1.7697841726618706,0.381,2015
66,acta veterinaria scandinavica,1751-0147,738.0,417.0,1.7697841726618706,0.381,2015
67,acta zoologica academiae scientiarum hungaricae,1217-8837,31.0,34.0,0.9117647058823528,0.165,2015
68,acta zoologica academiae scientiarum hungaricae,2064-2474,31.0,34.0,0.9117647058823528,0.165,2015
69,active and passive electronic components,1563-5031,66.0,72.0,0.9166666666666666,0.166,2015
70,adansonia,1280-8571,48.0,60.0,0.8,0.14,2015
71,adansonia,1639-4798,48.0,60.0,0.8,0.14,2015
72,addiction science & clinical practice,1940-0640,294.0,133.0,2.2105263157894743,0.504,2015
73,adhd attention deficit and hyperactivity disorders,1866-6647,347.0,117.0,2.965811965811966,0.7290000000000001,2015
74,advanced science letters,1936-6612,910.0,1330.0,0.6842105263157895,0.115,2015
75,advanced science letters,1936-7317,910.0,1330.0,0.6842105263157895,0.115,2015
76,advances in acoustics and vibration,1687-627X,73.0,86.0,0.8488372093023255,0.151,2015
77,advances in applied clifford algebras,1661-4909,260.0,238.0,1.092436974789916,0.20800000000000002,2015
78,advances in artificial intelligence,1687-7489,61.0,64.0,0.953125,0.175,2015
79,advances in artificial neural systems,1687-7608,45.0,52.0,0.8653846153846154,0.155,2015
80,advances in astronomy,1687-7969,286.0,154.0,1.8571428571428568,0.405,2015
81,advances in astronomy,1687-7977,286.0,154.0,1.8571428571428568,0.405,2015
82,advances in atmospheric sciences,1861-9533,1014.0,558.0,1.8172043010752688,0.39399999999999996,2015
83,advances in bioinformatics,1687-8035,105.0,82.0,1.2804878048780488,0.254,2015
84,advances in civil engineering,1687-8094,146.0,122.0,1.1967213114754098,0.233,2015
85,advances in cognitive psychology,1895-1171,162.0,80.0,2.025,0.451,2015
86,advances in computational mathematics,1572-9044,443.0,225.0,1.9688888888888894,0.436,2015
87,advances in condensed matter physics,1687-8108,205.0,195.0,1.051282051282051,0.198,2015
88,advances in condensed matter physics,1687-8124,205.0,195.0,1.051282051282051,0.198,2015
89,advances in decision sciences,2090-3367,0.0,1.0,0.0,0.0,2015
90,advances in difference equations,1687-1847,1298.0,954.0,1.360587002096436,0.27399999999999997,2015
91,advances in electrical and computer engineering,1582-7445,278.0,317.0,0.8769716088328076,0.157,2015
92,advances in electrical and computer engineering,1844-7600,278.0,317.0,0.8769716088328076,0.157,2015
93,advances in fuzzy systems,1687-711X,128.0,107.0,1.1962616822429906,0.233,2015
94,advances in geosciences,1680-7359,264.0,216.0,1.2222222222222223,0.239,2015
95,advances in health sciences education,1573-1677,1179.0,314.0,3.754777070063694,0.981,2015
96,advances in high energy physics,1687-7357,791.0,373.0,2.1206434316353886,0.478,2015
97,advances in high energy physics,1687-7365,791.0,373.0,2.1206434316353886,0.478,2015
98,advances in materials science and engineering,1687-8434,795.0,638.0,1.2460815047021945,0.245,2015
